timestamp,backend_url,latency_ms,status_code,routing_mode
2025-05-08T11:35:11.077032,http://localhost:8081,35,200,round-robin
2025-05-08T11:35:11.078505,http://localhost:8081,26,200,round-robin
2025-05-08T11:35:11.082057,http://localhost:8081,28,200,round-robin
2025-05-08T11:35:11.082284,http://localhost:8081,34,200,round-robin
2025-05-08T11:35:11.083561,http://localhost:8081,30,200,round-robin
2025-05-08T11:35:11.086971,http://localhost:8081,32,200,round-robin
2025-05-08T11:35:11.087231,http://localhost:8081,40,200,round-robin
2025-05-08T11:35:11.087412,http://localhost:8081,32,200,round-robin
2025-05-08T11:35:11.087638,http://localhost:8081,30,200,round-robin
2025-05-08T11:35:11.087726,http://localhost:8081,31,200,round-robin
2025-05-08T11:35:11.089977,http://localhost:8081,29,200,round-robin
2025-05-08T11:35:11.090108,http://localhost:8081,31,200,round-robin
2025-05-08T11:35:11.090195,http://localhost:8081,35,200,round-robin
2025-05-08T11:35:11.091906,http://localhost:8081,36,200,round-robin
2025-05-08T11:35:11.092142,http://localhost:8081,35,200,round-robin
2025-05-08T11:35:11.092353,http://localhost:8081,38,200,round-robin
2025-05-08T11:35:11.093946,http://localhost:8081,36,200,round-robin
2025-05-08T11:35:11.094131,http://localhost:8081,35,200,round-robin
2025-05-08T11:35:11.095935,http://localhost:8081,40,200,round-robin
2025-05-08T11:35:11.096122,http://localhost:8081,39,200,round-robin
2025-05-08T11:35:11.101000,http://localhost:8081,40,200,round-robin
2025-05-08T11:35:11.101103,http://localhost:8081,41,200,round-robin
2025-05-08T11:35:11.101272,http://localhost:8081,19,200,round-robin
2025-05-08T11:35:11.101445,http://localhost:8081,13,200,round-robin
2025-05-08T11:35:11.109735,http://localhost:8081,21,200,round-robin
2025-05-08T11:35:11.109833,http://localhost:8081,19,200,round-robin
2025-05-08T11:35:11.116727,http://localhost:8081,24,200,round-robin
2025-05-08T11:35:11.131040,http://localhost:8081,14,200,round-robin
2025-05-08T11:35:11.272706,http://localhost:8082,230,200,round-robin
2025-05-08T11:35:11.273905,http://localhost:8082,226,200,round-robin
2025-05-08T11:35:11.274152,http://localhost:8082,228,200,round-robin
2025-05-08T11:35:11.274426,http://localhost:8082,227,200,round-robin
2025-05-08T11:35:11.274611,http://localhost:8082,223,200,round-robin
2025-05-08T11:35:11.275250,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.276044,http://localhost:8082,222,200,round-robin
2025-05-08T11:35:11.276218,http://localhost:8082,223,200,round-robin
2025-05-08T11:35:11.276382,http://localhost:8082,221,200,round-robin
2025-05-08T11:35:11.276539,http://localhost:8082,221,200,round-robin
2025-05-08T11:35:11.276685,http://localhost:8082,222,200,round-robin
2025-05-08T11:35:11.276826,http://localhost:8082,221,200,round-robin
2025-05-08T11:35:11.280075,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.280342,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.280529,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.280741,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.280976,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.281850,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.282002,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.282391,http://localhost:8082,223,200,round-robin
2025-05-08T11:35:11.282985,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.283248,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.283401,http://localhost:8082,225,200,round-robin
2025-05-08T11:35:11.284723,http://localhost:8082,227,200,round-robin
2025-05-08T11:35:11.284907,http://localhost:8082,226,200,round-robin
2025-05-08T11:35:11.285057,http://localhost:8082,225,200,round-robin
2025-05-08T11:35:11.285173,http://localhost:8082,224,200,round-robin
2025-05-08T11:35:11.285287,http://localhost:8082,223,200,round-robin
2025-05-08T11:35:11.285503,http://localhost:8082,223,200,round-robin
2025-05-08T11:35:11.285693,http://localhost:8082,225,200,round-robin
2025-05-08T11:35:11.285820,http://localhost:8082,226,200,round-robin
2025-05-08T11:35:11.285985,http://localhost:8082,226,200,round-robin
2025-05-08T11:35:11.286097,http://localhost:8082,226,200,round-robin
2025-05-08T11:35:11.287068,http://localhost:8082,208,200,round-robin
2025-05-08T11:35:11.288783,http://localhost:8082,205,200,round-robin
2025-05-08T11:35:11.294168,http://localhost:8082,205,200,round-robin
2025-05-08T11:35:11.294379,http://localhost:8082,205,200,round-robin
2025-05-08T11:35:11.295708,http://localhost:8082,204,200,round-robin
2025-05-08T11:35:11.295841,http://localhost:8082,202,200,round-robin
2025-05-08T11:35:11.300195,http://localhost:8082,203,200,round-robin
2025-05-08T11:35:11.303335,http://localhost:8082,201,200,round-robin
2025-05-08T11:35:11.310196,http://localhost:8081,27,200,round-robin
2025-05-08T11:35:11.310441,http://localhost:8081,32,200,round-robin
2025-05-08T11:35:11.312646,http://localhost:8082,202,200,round-robin
2025-05-08T11:35:11.313705,http://localhost:8081,20,200,round-robin
2025-05-08T11:35:11.313970,http://localhost:8081,17,200,round-robin
2025-05-08T11:35:11.314167,http://localhost:8081,31,200,round-robin
2025-05-08T11:35:11.316378,http://localhost:8081,37,200,round-robin
2025-05-08T11:35:11.316943,http://localhost:8083,271,200,round-robin
2025-05-08T11:35:11.317181,http://localhost:8081,25,200,round-robin
